timestamp,symbol,step,detail,extra
2025-07-29 15:10:18,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:18,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.688; Entropia: 0.983; Spin: 0.158; Buffer tick: 200
2025-07-29 15:10:18,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:18,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.688; Entropia: 0.989; Spin: 0.158; Buffer tick: 200
2025-07-29 15:10:19,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.500; Confidence troppo bassa; Entropia: 0.755; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.125; Buffer tick: 200
2025-07-29 15:10:19,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:19,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.975; Spin: 0.263; Buffer tick: 200
2025-07-29 15:10:19,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.500; Confidence troppo bassa; Entropia: 0.737; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.125; Buffer tick: 200
2025-07-29 15:10:19,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:19,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.809; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.412; Buffer tick: 200
2025-07-29 15:10:19,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.975; Spin: 0.263; Buffer tick: 200
2025-07-29 15:10:20,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:20,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.975; Spin: 0.263; Buffer tick: 200
2025-07-29 15:10:21,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.775; Confidence troppo bassa; Entropia: 0.751; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:21,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:21,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.975; Spin: 0.263; Buffer tick: 200
2025-07-29 15:10:21,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.775; Confidence troppo bassa; Entropia: 0.751; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.200; Buffer tick: 200
